
Import: Release 12.1.0.2.0 - Production on Sun Mar 26 01:05:29 2023

Copyright (c) 1982, 2014, Oracle and/or its affiliates.  All rights reserved.

Connected to: Oracle Database 19c Enterprise Edition Release 19.0.0.0.0 - Production
Master table "INTUADMIN"."SYS_IMPORT_TABLE_01" successfully loaded/unloaded
Starting "INTUADMIN"."SYS_IMPORT_TABLE_01":  userid=intuadmin/********@psphpp01 dumpfile=DATA_PUMP_DIR:exp_data_%U.dmp,DATA_PUMP_DIR1:exp_data1_%U.dmp,DATA_PUMP_DIR2:exp_data2_%U.dmp,DATA_PUMP_DIR3:exp_data3_%U.dmp parallel=16 TABLES=PSPADM.PSP_FINANCIAL_TRANS_STATE,PSPADM.PSP_PSTUB_PAY_ITEM content=data_only logfile=DATA_PUMP_DIR:imp_psp_tables1.log 
Processing object type SCHEMA_EXPORT/TABLE/TABLE_DATA
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M032012"  3.534 GB 17207884 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M112011"  3.440 GB 16749090 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M082011"  3.412 GB 16622855 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M102011"  3.367 GB 16377953 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M122011"  3.343 GB 16263455 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M062011"  3.210 GB 15608533 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M092011"  3.101 GB 15073843 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M072011"  3.091 GB 15026424 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M052011"  3.018 GB 14708159 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M042011"  2.693 GB 13120714 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M032011"  2.589 GB 12628121 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M122010"  2.411 GB 11672927 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M062010"  2.350 GB 11394270 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M092010"  2.326 GB 11258932 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M032010"  2.246 GB 10885640 rows
