SQL> set lines 500 pages 500
col constraint_name for a50
col table_name for a50
select constraint_name, table_name,status  from dba_constraints where owner='PSPADM' and constraint_type='R' SQL> SQL> SQL> ;

CONSTRAINT_NAME 				   TABLE_NAME					      STATUS
PSP_FRAUD_EVENT_FK4				   PSP_FRAUD_EVENT				      ENABLED
PSP_LIABILITY_ADJUSTMENT_FK3			   PSP_LIABILITY_ADJUSTMENT			      ENABLED
PSP_PAY_ITEM_FK2				   PSP_PAY_ITEM 				      ENABLED
PSP_PSTUB_EMPLOYEE_PREFERE_FK1			   PSP_PSTUB_EMPLOYEE_PREFERENCE		      ENABLED
PSP_QBDT_EMPLOYEE_INFO_FK1			   PSP_QBDT_EMPLOYEE_INFO			      ENABLED
PSP_QBDT_PAYROLL_TRANS_FK1			   PSP_QBDT_PAYROLL_TRANSACTION 		      ENABLED
PSP_TP401K_BATCH_EE_FK2 			   PSP_TP401K_BATCH_EMPLOYEE			      ENABLED
PSP_PAYCHECK_SPLIT_FK1				   PSP_PAYCHECK_SPLIT				      ENABLED
PSP_TAX_TABLE_MISC_DATA_FK1			   PSP_TAX_TABLE_MISC_DATA			      ENABLED
PSP_PAYCHECKUSAGE_FK2				   PSP_PAYCHECK_USAGE				      ENABLED
PSP_PAYCHECK_USAGE_HIST_FK1			   PSP_PAYCHECK_USAGE_HIST			      ENABLED
PSP_QBDT_PAYLINE_INFO_FK1			   PSP_QBDT_PAYLINE_INFO			      ENABLED
PSP_ENTITLEMENT_UNIT_FK1			   PSP_ENTITLEMENT_UNIT 			      ENABLED
PSP_ENTITLEMENT_FK1				   PSP_ENTITLEMENT				      ENABLED
PSP_ENTITLEMENT_CODE_OFFER_FK1			   PSP_ENTITLEMENT_CODE_OFFERING		      ENABLED
PSP_EVTTP_SRCSYS_FK_EVTTP			   PSP_EVTTP_SRCSYS_ASSOC			      ENABLED
PSP_FINANCIALTRANSACTION_FK3			   PSP_FINANCIAL_TRANSACTION			      ENABLED
PSP_FINANCIALTRANSACTION_FK2			   PSP_FINANCIAL_TRANSACTION			      ENABLED
PSP_FINANCIAL_TRANSACTION__FK5			   PSP_FINANCIAL_TRANS_STATE			      ENABLED
PSP_QBDT_TRANSACTION_INFO_FK4			   PSP_QBDT_TRANSACTION_INFO			      ENABLED
PSP_TRANSACTION_OFFLOAD_BA_FK1			   PSP_TRANSACTION_OFFLOAD_BATCH		      ENABLED
PSP_FORECASTDETAIL_FK1				   PSP_FORECAST_DETAIL				      ENABLED
PSP_COMPANY_AGENCY_FORM_TE_FK2			   PSP_COMPANYAGENCY_FRMTEMPLATE		      ENABLED
PSP_FRAUDVALUE_FK1				   PSP_FRAUD_VALUE				      ENABLED
PSP_OFFERING_FK2				   PSP_OFFERING 				      ENABLED
PSP_FSET_FILING_DETAIL_FK1			   PSP_FSET_FILING_DETAIL			      ENABLED
PSP_FSET_FILING_DETAIL_FK2			   PSP_FSET_FILING_DETAIL			      ENABLED
PSP_COMPANY_FK6 				   PSP_COMPANY					      ENABLED
PSP_COMPANY_SERVICE_FK3 			   PSP_COMPANY_SERVICE				      ENABLED
PSP_GEMS_MONTHLY_BALANCE_FK1			   PSP_GEMS_MONTHLY_BALANCE			      ENABLED
PSP_FINANCIAL_TRANSACTION__FK4			   PSP_FINANCIAL_TRANS_STATE			      ENABLED
PSP_GEMS_MONTHLY_BALANCE_FK2			   PSP_GEMS_MONTHLY_BALANCE			      ENABLED
PSP_CONTACT_FK1 				   PSP_CONTACT					      ENABLED
PSP_EMPLOYEE_FK1				   PSP_EMPLOYEE 				      ENABLED
PSP_COMPANY_ADDITIONAL_INF_FK2			   PSP_COMPANY_ADDITIONAL_INFO			      ENABLED
PSP_ENTRY_DETAIL_RECORD_FK1			   PSP_ENTRY_DETAIL_RECORD			      ENABLED
PSP_INTUIT_BANK_ACCOUNT_TR_FK1			   PSP_INTUIT_BANK_ACC_TXN_TYPE 		      ENABLED
PSP_INTUIT_BABATCH_TYPE_FI_FK1			   PSP_INTUIT_BA_BT_FT				      ENABLED
PSP_ADE_LAW_MAP_FK1				   PSP_ADE_LAW_MAP				      ENABLED
PSP_ATFPAYMENTS_TO_PROCESS_FK2			   PSP_ATFPAYMENTS_TO_PROCESS			      ENABLED
PSP_FINANCIAL_TRANSACTION_FK8			   PSP_FINANCIAL_TRANSACTION			      ENABLED
PSP_TAX_FK1					   PSP_TAX					      ENABLED
PSP_COMPANY_DAILY_LIABILIT_FK1			   PSP_COMPANY_DAILY_LIABILITY			      ENABLED
PSP_COMPANY_LAW_FK2				   PSP_COMPANY_LAW				      ENABLED
PSP_EMPLOYEE_LAW_QTR_TOTAL_FK1			   PSP_EMPLOYEE_LAW_QTR_TOTALS			      ENABLED
PSP_EMPLOYEE_W2_TOTALS_FK3			   PSP_EMPLOYEE_W2_TOTALS			      ENABLED
PSP_HOURS_WORKED_EXCEPTION_FK1			   PSP_HOURS_WORKED_EXCEPTION			      ENABLED
PSP_LAW_RATE_RANGE_FK1				   PSP_LAW_RATE_RANGE				      ENABLED
PSP_LAW_RATE_VALUE_FK1				   PSP_LAW_RATE_VALUE				      ENABLED
PSP_LEDGER_OPERATION_FK1			   PSP_LEDGER_OPERATION 			      ENABLED
PSP_LIABILITY_ADJUSTMENT_FK2			   PSP_LIABILITY_ADJUSTMENT			      ENABLED
PSP_SOURCE_SYSTEM_LAW_ASSO_FK1			   PSP_SOURCE_SYSTEM_LAW_ASSOC			      ENABLED
PSP_WAGE_LIMIT_FK1				   PSP_WAGE_LIMIT				      ENABLED
PSP_LEDGERBALANCE_FK1				   PSP_LEDGER_BALANCE				      ENABLED
