com.intuit.ems.dataservice.v1.resource.UserResource,updateEmployeePreferences
com.intuit.sbd.payroll.psp.adapters.cdmadapter.workerscomp.resource.CompanyResource,getCompaniesByEIN
com.intuit.sbd.payroll.psp.adapters.cdmadapter.workerscomp.resource.CompanyResource,getCompanyByEINAndSubsNum
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Deactivate_Entitlement
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Check_EIN_Service_Eligibility
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Query_Service_Key
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Migrate_Entitlement
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Create_Pin
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Authenticate_Pin
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Update_Pin
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Validate_Bank
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Update_Bank
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Reset_Pin
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Add_Service
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Create_Account
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Deactivate_Service
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Query_Account
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Update_Account
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Validate_Subscription
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Query_Offer
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Query_Subscriptions
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,QueryPayrollStatus
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Update_Billing_Details
com.intuit.sbd.payroll.psp.adapters.ews.v1_10.webservices.EWSAdapter,Query_Industry_Types
com.intuit.sbd.payroll.psp.adapters.ptc.webservices.PTCWebServices,validatePIN
com.intuit.sbd.payroll.psp.adapters.ptc.webservices.PTCWebServices,isActiveOnService
com.intuit.sbd.payroll.psp.adapters.ptc.webservices.PTCWebServices,getPSIDForEIN
com.intuit.sbd.payroll.psp.adapters.ptc.webservices.PTCWebServices,isEligibleForCancelForms
com.intuit.sbd.payroll.psp.adapters.ptc.webservices.PTCWebServices,getW2PrintingPreference
com.intuit.sbd.payroll.psp.adapters.ptc.webservices.PTCWebServices,updateW2PrintingPreference
com.intuit.sbd.payroll.psp.adapters.ptc.webservices.PTCWebServices,getLegalInfo
com.intuit.sbd.payroll.psp.adapters.ptc.webservices.PTCWebServices,getEmployeeInfo
com.intuit.sbd.payroll.psp.adapters.ptc.webservices.PTCWebServices,getW2ServiceChargePrice
com.intuit.sbd.payroll.psp.adapters.qbdt.QBDTPegServlet,doPost
com.intuit.sbd.payroll.psp.adapters.qbdtws.webservices.QBPayrollWebServices,SubmitPayroll
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Query_FinancialTransactions
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Update_RefundEmployerFinancialTransaction
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Update_RebillEmployerFinancialTransaction
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Query_SAPCompany
com.intuit.sbd.payroll.psp.adapters.dis.v1_8.DISAdapter,Query_CompanyPayrolls
